id,message,user_id,channel_id,create_at,update_at,root_id,edit_at,delete_at,is_pinned,original_id,cluster
146090,Привет! Покупателю 473905 не возвращаются деньги: статус завис на confirmed. 317981,261636,897391,1693346597662,1693346597662,,0,0,False,,2
146099,Привет! Покупателю 310597 не возвращаются деньги: статус завис на confirmed. 356911,205592,347308,1693353138227,1693353138227,,0,0,False,,2
146104,"Добрый день, в профиле 528509 не отображается 14 дней на возврат, подскажите это как включить?",178096,250509,1693357256713,1693357256713,,0,0,False,,6
146111,"Привет! У клиента 804993 несколько вопросов касаемо доставки (DBS и RDBS) и API, можете подсказать по ним ответы или может подскажете кому их можно направить? Подробности в треде.",255493,69518,1693362570042,1693362570042,,0,0,False,,4
146118,"Привет! У клиента 746656 несколько вопросов касаемо доставки (DBS и RDBS) и API, можете подсказать по ним ответы или может подскажете кому их можно направить? Подробности в треде.",660691,52200,1693368940920,1693368940920,dsyhsescphovx9o0jktmy0zt,0,0,False,,4
146123,Привет! Покупателю 189402 не возвращаются деньги: статус завис на refunding.,91884,598495,1693374327136,1693374327136,,0,0,False,,2
146132,"Привет! В заказе №791158 с политикой возврата покупатель отказался от заказа, но деньги не вернулись. В биллинге статус заказа не lost. Помогите, пожалуйста, вернуть деньги пользователю.",6246,195670,1693377966950,1693377966950,,0,0,False,,5
146137,"Привет! В заказе №848870 с политикой возврата покупатель отказался от заказа, но деньги не вернулись. В биллинге статус заказа не cancelled. Помогите, пожалуйста, вернуть деньги пользователю.",18292,607402,1693379294580,1693379294580,uyykko4kwuiovddw63qpbcik,0,0,False,,5
146141,"Привет! У клиента 455385 несколько вопросов касаемо доставки (DBS и RDBS) и API, можете подсказать по ним ответы или может подскажете кому их можно направить? Подробности в треде.",342314,190432,1693379939368,1693379939368,,0,0,False,,4
146143,Привет! Покупателю 392566 не возвращаются деньги: статус завис на confirmed. 449988,332974,108027,1693382937812,1693382937812,yjcb42iycfvn93sigo95q5jy,0,0,False,,2
146153,"У нас статус отправлен на lost, но по трекингу заказ получен в опс покупа, отмены нет, уточните, мы получали статус отмены от ПР? чья это ошибка?",505680,29224,1693388609907,1693388609907,xdrh3qqtud38m59barh1zg02,0,0,False,,3
146163,Привет! Покупателю 829675 не возвращаются деньги: статус завис на confirmed. 96623,566951,452650,1693389444383,1693389444383,,0,0,False,,2
146167,"Привет! Была выплачена компенсация №670517, нужно убрать уведомление по претензии.",429273,21450,1693395776769,1693395776769,,0,0,False,,8
146176,"Привет! Пользователь 519701 просит убрать уведомление по претензии, претензия по ""Срок вывода ДС"" была отклонена и в разделе ""Заказы"" осталось уведомление ""Не сможем выплатить компенс"" - просит убрать.",911611,724326,1693397758286,1693397758286,,0,0,False,,7
146183,"Привет! Была выплачена компенсация №453245, нужно убрать уведомление по претензии.",983982,929068,1693398927973,1693398927973,,0,0,False,,8
146188,"У нас статус отправлен на sorted, но по трекингу заказ получен в опс покупа, отмены нет, уточните, мы получали статус отмены от ПР? чья это ошибка?",479755,305840,1693403076800,1693403076800,al3h13tkkpbo1fajkx6v10hz,0,0,False,,3
146192,"Привет! Была выплачена компенсация №782162, нужно убрать уведомление по претензии.",19002,290402,1693409541351,1693409541351,,0,0,False,,8
146199,"У нас статус отправлен на refunding, но по трекингу заказ получен в опс покупа, отмены нет, уточните, мы получали статус отмены от ПР? чья это ошибка?",179666,475936,1693415773212,1693415773212,hgae18pvp5bpuo6k63ihozpp,0,0,False,,3
146209,Привет! Покупателю 74118 не возвращаются деньги: статус завис на started.,273117,122764,1693422453200,1693422453200,,0,0,False,,2
146219,Добрый день! У покупателя 969373 зависли деньги из за статуса refunding. Заказ: 938659,396403,428707,1693426057597,1693426057597,xrcm029ftf3dqiiujerncb1s,0,0,False,,10
146227,Привет! Покупателю 155595 не возвращаются деньги: статус завис на refund.,198019,385083,1693428315875,1693428315875,p4s38byg1oej922qpj3uxclx,0,0,False,,2
146236,"Привет! По заказу кросс-доставки №557717, нет возвратного трек-номера. EXMAIL сообщили, что уже передали заказ в СД продавца для дальнейшего возврата. Помогите, пожалуйста, разобраться и вернуть заказ продавцу.",465124,574971,1693433373141,1693433373141,3a0pyx4urywq2cw91bynppab,0,0,False,,0
146246,Привет! Покупателю 611513 не возвращаются деньги: статус завис на confirmed. 44282,907252,562541,1693438121180,1693438121180,,0,0,False,,2
146252,"Покупатель 350708 отказался от товара, но деньги не вернулись. В биллинге статус заказа не confirmed. Помогите, пожалуйста, вернуть деньги пользователю.",778358,119597,1693442695791,1693442695791,,0,0,False,,11
146261,"Привет! У клиента 135242 несколько вопросов касаемо доставки (DBS и RDBS) и API, можете подсказать по ним ответы или может подскажете кому их можно направить? Подробности в треде.",273707,533563,1693447818160,1693447818160,p03oyg02nld35cb052nkhhtv,0,0,False,,4
146270,"Привет! Просьба перевести статус заказа в cancelled, покупателю 621889 не вернулись деньги, у нас заказ отменен. Спасибо!",878788,40568,1693454482160,1693454482160,hesc905vzdsc6oscp4n92lru,0,0,False,,9
146274,"Привет! Была выплачена компенсация №783839, нужно убрать уведомление по претензии.",507366,892525,1693455896496,1693455896496,,0,0,False,,8
146284,Добрый день! У покупателя 16343 зависли деньги из за статуса started. Заказ: 843078,138653,39932,1693457642923,1693457642923,dpexh49ccoa1kdfqsg366rf1,0,0,False,,10
